accuracy,loss,val_accuracy,val_loss
0.20219436287879944,2.4815175533294678,0.2533356845378876,2.82755708694458
0.24420933425426483,2.052252769470215,0.32127809524536133,1.768377423286438
0.29249390959739685,1.8641736507415771,0.3172401785850525,1.8983474969863892
0.3546673655509949,1.7016152143478394,0.3872893154621124,1.6086103916168213
0.3945924639701843,1.576088547706604,0.36832866072654724,1.762635350227356
0.444487988948822,1.451991319656372,0.4889396131038666,1.341138243675232
0.477708101272583,1.3680793046951294,0.46945226192474365,1.368128776550293
0.5047892928123474,1.3117603063583374,0.47770366072654724,1.4025071859359741
0.5167624354362488,1.2701563835144043,0.5240519642829895,1.2686845064163208
0.5362243056297302,1.2326867580413818,0.5489817261695862,1.208890438079834
0.540229856967926,1.212031602859497,0.5560042262077332,1.1379497051239014
0.5509839653968811,1.176167607307434,0.5154494643211365,1.277364730834961
0.5623475909233093,1.161329984664917,0.5256320238113403,1.2164685726165771
0.5692703127861023,1.1373038291931152,0.5454704761505127,1.2037081718444824
0.5758882164955139,1.1152994632720947,0.5753160119056702,1.1304737329483032
0.5837251543998718,1.1010037660598755,0.5498595237731934,1.1814601421356201
0.5864245891571045,1.089370846748352,0.5458216071128845,1.2349789142608643
0.5980059504508972,1.065454125404358,0.6048104166984558,1.04802405834198
0.6042319536209106,1.0511510372161865,0.6070926785469055,1.0545010566711426
0.6034047603607178,1.0480238199234009,0.601123571395874,1.0776628255844116
0.612243115901947,1.028925895690918,0.6235954761505127,1.0017355680465698
0.61986243724823,1.0119034051895142,0.6251755356788635,1.0218980312347412
0.6201671957969666,1.0097593069076538,0.6072682738304138,1.0499309301376343
0.6261755228042603,0.9970411658287048,0.611832857131958,1.0280946493148804
0.6246081590652466,0.9869981408119202,0.6088483333587646,1.036101222038269
0.6288314461708069,0.9776843786239624,0.6183286309242249,1.0002516508102417
0.6395419836044312,0.9652188420295715,0.6100772619247437,1.0415705442428589
0.6430686116218567,0.9500073194503784,0.6174508333206177,1.0335757732391357
0.6404998302459717,0.9508747458457947,0.6257022619247437,1.0190443992614746
0.649904191493988,0.9402341842651367,0.6004213690757751,1.064126968383789
0.6516892910003662,0.9302772879600525,0.6343047618865967,1.0047755241394043
0.655651330947876,0.9183141589164734,0.6288623809814453,1.0016279220581055
0.6598310470581055,0.9077898263931274,0.6083216071128845,1.039674997329712
0.6637930870056152,0.8964834213256836,0.608146071434021,1.0537832975387573
